latent_dim,learning_rate,batch_size,epochs,dropout,Accuracy
4,0.001,32,50,0.0,0.613
4,0.001,32,50,0.2,0.762
4,0.001,32,50,0.5,0.637
4,0.001,32,100,0.0,0.613
4,0.001,32,100,0.2,0.588
4,0.001,32,100,0.5,0.588
4,0.001,64,50,0.0,0.787
4,0.001,64,50,0.2,0.787
4,0.001,64,50,0.5,0.762
4,0.001,64,100,0.0,0.588
4,0.001,64,100,0.2,0.762
4,0.001,64,100,0.5,0.787
4,0.001,128,50,0.0,0.738
4,0.001,128,50,0.2,0.662
4,0.001,128,50,0.5,0.738
4,0.001,128,100,0.0,0.613
4,0.001,128,100,0.2,0.762
4,0.001,128,100,0.5,0.562
4,0.0001,32,50,0.0,0.713
4,0.0001,32,50,0.2,0.762
4,0.0001,32,50,0.5,0.713
4,0.0001,32,100,0.0,0.762
4,0.0001,32,100,0.2,0.688
4,0.0001,32,100,0.5,0.613
4,0.0001,64,50,0.0,0.713
4,0.0001,64,50,0.2,0.688
4,0.0001,64,50,0.5,0.613
4,0.0001,64,100,0.0,0.637
4,0.0001,64,100,0.2,0.688
4,0.0001,64,100,0.5,0.662
4,0.0001,128,50,0.0,0.662
4,0.0001,128,50,0.2,0.688
4,0.0001,128,50,0.5,0.738
4,0.0001,128,100,0.0,0.738
4,0.0001,128,100,0.2,0.887
4,0.0001,128,100,0.5,0.787
8,0.001,32,50,0.0,0.613
8,0.001,32,50,0.2,0.588
8,0.001,32,50,0.5,0.588
8,0.001,32,100,0.0,0.637
8,0.001,32,100,0.2,0.537
8,0.001,32,100,0.5,0.562
8,0.001,64,50,0.0,0.713
8,0.001,64,50,0.2,0.787
8,0.001,64,50,0.5,0.762
8,0.001,64,100,0.0,0.762
8,0.001,64,100,0.2,0.812
8,0.001,64,100,0.5,0.613
8,0.001,128,50,0.0,0.713
8,0.001,128,50,0.2,0.662
8,0.001,128,50,0.5,0.762
8,0.001,128,100,0.0,0.662
8,0.001,128,100,0.2,0.662
8,0.001,128,100,0.5,0.812
8,0.0001,32,50,0.0,0.688
8,0.0001,32,50,0.2,0.688
8,0.0001,32,50,0.5,0.738
8,0.0001,32,100,0.0,0.738
8,0.0001,32,100,0.2,0.637
8,0.0001,32,100,0.5,0.688
8,0.0001,64,50,0.0,0.588
8,0.0001,64,50,0.2,0.688
8,0.0001,64,50,0.5,0.688
8,0.0001,64,100,0.0,0.713
8,0.0001,64,100,0.2,0.688
8,0.0001,64,100,0.5,0.713
8,0.0001,128,50,0.0,0.762
8,0.0001,128,50,0.2,0.688
8,0.0001,128,50,0.5,0.688
8,0.0001,128,100,0.0,0.738
8,0.0001,128,100,0.2,0.662
8,0.0001,128,100,0.5,0.713
16,0.001,32,50,0.0,0.713
16,0.001,32,50,0.2,0.637
16,0.001,32,50,0.5,0.662
16,0.001,32,100,0.0,0.762
16,0.001,32,100,0.2,0.688
16,0.001,32,100,0.5,0.613
16,0.001,64,50,0.0,0.588
16,0.001,64,50,0.2,0.662
16,0.001,64,50,0.5,0.613
16,0.001,64,100,0.0,0.662
16,0.001,64,100,0.2,0.662
16,0.001,64,100,0.5,0.613
16,0.001,128,50,0.0,0.713
16,0.001,128,50,0.2,0.688
16,0.001,128,50,0.5,0.688
16,0.001,128,100,0.0,0.613
16,0.001,128,100,0.2,0.613
16,0.001,128,100,0.5,0.637
16,0.0001,32,50,0.0,0.762
16,0.0001,32,50,0.2,0.713
16,0.0001,32,50,0.5,0.688
16,0.0001,32,100,0.0,0.637
16,0.0001,32,100,0.2,0.713
16,0.0001,32,100,0.5,0.787
16,0.0001,64,50,0.0,0.787
16,0.0001,64,50,0.2,0.662
16,0.0001,64,50,0.5,0.713
16,0.0001,64,100,0.0,0.738
16,0.0001,64,100,0.2,0.588
16,0.0001,64,100,0.5,0.613
16,0.0001,128,50,0.0,0.787
16,0.0001,128,50,0.2,0.738
16,0.0001,128,50,0.5,0.713
16,0.0001,128,100,0.0,0.688
16,0.0001,128,100,0.2,0.713
16,0.0001,128,100,0.5,0.662
