n_neighbors,leaf_size,metric,contamination,Accuracy
10,30,minkowski,0.05,0.738
10,30,minkowski,0.1,0.713
10,30,minkowski,0.15,0.662
10,30,euclidean,0.05,0.738
10,30,euclidean,0.1,0.713
10,30,euclidean,0.15,0.662
10,50,minkowski,0.05,0.738
10,50,minkowski,0.1,0.713
10,50,minkowski,0.15,0.662
10,50,euclidean,0.05,0.738
10,50,euclidean,0.1,0.713
10,50,euclidean,0.15,0.662
10,70,minkowski,0.05,0.738
10,70,minkowski,0.1,0.713
10,70,minkowski,0.15,0.662
10,70,euclidean,0.05,0.738
10,70,euclidean,0.1,0.713
10,70,euclidean,0.15,0.662
20,30,minkowski,0.05,0.7
20,30,minkowski,0.1,0.65
20,30,minkowski,0.15,0.625
20,30,euclidean,0.05,0.7
20,30,euclidean,0.1,0.65
20,30,euclidean,0.15,0.625
20,50,minkowski,0.05,0.7
20,50,minkowski,0.1,0.65
20,50,minkowski,0.15,0.625
20,50,euclidean,0.05,0.7
20,50,euclidean,0.1,0.65
20,50,euclidean,0.15,0.625
20,70,minkowski,0.05,0.7
20,70,minkowski,0.1,0.65
20,70,minkowski,0.15,0.625
20,70,euclidean,0.05,0.7
20,70,euclidean,0.1,0.65
20,70,euclidean,0.15,0.625
35,30,minkowski,0.05,0.787
35,30,minkowski,0.1,0.825
35,30,minkowski,0.15,0.863
35,30,euclidean,0.05,0.787
35,30,euclidean,0.1,0.825
35,30,euclidean,0.15,0.863
35,50,minkowski,0.05,0.787
35,50,minkowski,0.1,0.825
35,50,minkowski,0.15,0.863
35,50,euclidean,0.05,0.787
35,50,euclidean,0.1,0.825
35,50,euclidean,0.15,0.863
35,70,minkowski,0.05,0.787
35,70,minkowski,0.1,0.825
35,70,minkowski,0.15,0.863
35,70,euclidean,0.05,0.787
35,70,euclidean,0.1,0.825
35,70,euclidean,0.15,0.863
